judul,pengarang,klasifikasi,status,genre_utama,subgenre,genre,content
5 Hari Mahir Mengemudi Mobil Manual & Matic,Yudhistira Manganti,629.2,Penyiangan 2025-2,teknologi,umum,teknologi umum, hari mahir mengemudi mobil manual  matic yudhistira manganti teknologi umum
Hadirmu Sempurnakan Cintaku,Dita Safitri ; Abdul Latif,813,Penyiangan 2025-2,sastra,romance,sastra romance,hadirmu sempurnakan cintaku dita safitri  abdul latif sastra romance
"Libas Kolesterol Dengan Terapi Herbal, Buah, Dan Sayuran",Rifdah Sabella,615.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,libas kolesterol dengan terapi herbal buah dan sayuran rifdah sabella teknologi umum
Keajaiban Shalat Sunnah,"Muzammirah, Lathufatul",297.412.2,Penyiangan 2025-2,agama,umum,agama umum,keajaiban shalat sunnah muzammirah lathufatul agama umum
Kiat Sukses Jadi Jutawan Lewat Internet,Samuel Henry,650.1,Penyiangan 2025-2,teknologi,umum,teknologi umum,kiat sukses jadi jutawan lewat internet samuel henry teknologi umum
Srikaya: Buah Unik Pelindung Serangan Jantung,Soedarso,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,srikaya buah unik pelindung serangan jantung soedarso teknologi umum
Sandiwara Bumi / Taufiqurrahman al-Azizy,Taufiqurrahman al-Azizy ; Velisya Maharani,FIK,Penyiangan 2025-2,umum,umum,umum umum,sandiwara bumi  taufiqurrahman alazizy taufiqurrahman alazizy  velisya maharani umum umum
Mobil Mr. Cugnot,Raka Insan,Fik,Penyiangan 2025-2,umum,umum,umum umum,mobil mr cugnot raka insan umum umum
Beautiful Sin,Kamiluddin Aziz,Fik,Penyiangan 2025-2,umum,umum,umum umum,beautiful sin kamiluddin aziz umum umum
Jago Bermain Billiard,Radhitya Daniswara,794.72,Penyiangan 2025-2,umum,umum,umum umum,jago bermain billiard radhitya daniswara umum umum
Jalan Pintas Lolos IELTS,Achmad Fanani ; Uswatun Qoyyimah,420,Penyiangan 2025-2,umum,umum,umum umum,jalan pintas lolos ielts achmad fanani  uswatun qoyyimah umum umum
Buku Pintar Ibu Hamil,Fania Putri,612.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,buku pintar ibu hamil fania putri teknologi umum
I Heart You : Pahit dan Manis tak Lagi Bermakna Ketika Kamu di Sisiku,Tifanni Hwang,Fik,Penyiangan 2025-2,umum,umum,umum umum,i heart you  pahit dan manis tak lagi bermakna ketika kamu di sisiku tifanni hwang umum umum
"Resep Rumahan Terfavorit Ayam, Daging, Nasi, Soto",Yayuk,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,resep rumahan terfavorit ayam daging nasi soto yayuk teknologi umum
Deteksi Penyakit Anak & Pengobatannya,Dewi Lestari,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,deteksi penyakit anak  pengobatannya dewi lestari teknologi anak
Kembar Siam Gokil,Sigi Budi,FIK,Penyiangan 2025-2,umum,umum,umum umum,kembar siam gokil sigi budi umum umum
Cerita Bodor Kaos Cebok / Andreas Kurniawan,Andreas Kurniawan dkk.,817,Penyiangan 2025-2,sastra,umum,sastra umum,cerita bodor kaos cebok  andreas kurniawan andreas kurniawan dkk sastra umum
19 Peluang Usaha Agribisnis: Paling Top Markotop,Bayu Sutejo,650.1,Penyiangan 2025-2,teknologi,umum,teknologi umum, peluang usaha agribisnis paling top markotop bayu sutejo teknologi umum
Lumpuhkan Lukaku,Lonyenk Rap,FIK,Penyiangan 2025-2,umum,umum,umum umum,lumpuhkan lukaku lonyenk rap umum umum
Zodiak Boleh Ga Sih ?,"Sati, Pakih",297.013.35,Penyiangan 2025-2,agama,umum,agama umum,zodiak boleh ga sih  sati pakih agama umum
Kisah-Kisah Terdasyat Jagad Pakeliran Jawa,Sri Wintala Achmad,791.5,Penyiangan 2025-2,umum,umum,umum umum,kisahkisah terdasyat jagad pakeliran jawa sri wintala achmad umum umum
Kisah-Kisah Paling Mengharukan di Dunia 2,Akhmad Sirodz,155.6,Penyiangan 2025-2,umum,umum,umum umum,kisahkisah paling mengharukan di dunia  akhmad sirodz umum umum
Awet Muda dengan Durian dan Buah-Buahan Khas Nusantara,Deya Sindhumarta,634.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,awet muda dengan durian dan buahbuahan khas nusantara deya sindhumarta teknologi umum
Dan cinta Pun Berkiblat Pada-Nya,Kurniawan Al Isyhad,FIK,Penyiangan 2025-2,umum,umum,umum umum,dan cinta pun berkiblat padanya kurniawan al isyhad umum umum
Kamus Nama Indah untuk Buah Hati,Indah Dwi Pertiwi,929.4,Penyiangan 2025-2,sejarah,umum,sejarah umum,kamus nama indah untuk buah hati indah dwi pertiwi sejarah umum
Aneka Resep Masakan Padng Pilihan,"Chaniago, Rita",641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,aneka resep masakan padng pilihan chaniago rita teknologi umum
"Libas Diabetes Dengan Terapi Herbal, Buah Dan Sayuran",Rifdah Sabella,615.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,libas diabetes dengan terapi herbal buah dan sayuran rifdah sabella teknologi umum
Kekuatan Nama-Nama Islam,"Schimmel, Annemarie",297,Penyiangan 2025-2,agama,umum,agama umum,kekuatan namanama islam schimmel annemarie agama umum
5 Hari Mahir Mengemudi Mobil Manual & Matic,Yudhistira Manganti,629.2,Penyiangan 2025-2,teknologi,umum,teknologi umum, hari mahir mengemudi mobil manual  matic yudhistira manganti teknologi umum
Hadirmu Sempurnakan Cintaku,Dita Safitri ; Abdul Latif,813,Penyiangan 2025-2,sastra,romance,sastra romance,hadirmu sempurnakan cintaku dita safitri  abdul latif sastra romance
"Libas Kolesterol Dengan Terapi Herbal, Buah, Dan Sayuran",Rifdah Sabella,615.8,Penyiangan 2025-2,teknologi,umum,teknologi umum,libas kolesterol dengan terapi herbal buah dan sayuran rifdah sabella teknologi umum
Keajaiban Shalat Sunnah,"Muzammirah, Lathufatul",297.412.2,Penyiangan 2025-2,agama,umum,agama umum,keajaiban shalat sunnah muzammirah lathufatul agama umum
Kiat Sukses Jadi Jutawan Lewat Internet,Samuel Henry,650.1,Penyiangan 2025-2,teknologi,umum,teknologi umum,kiat sukses jadi jutawan lewat internet samuel henry teknologi umum
Srikaya: Buah Unik Pelindung Serangan Jantung,Soedarso,634,Penyiangan 2025-2,teknologi,umum,teknologi umum,srikaya buah unik pelindung serangan jantung soedarso teknologi umum
Sandiwara Bumi / Taufiqurrahman al-Azizy,Taufiqurrahman al-Azizy ; Velisya Maharani,FIK,Penyiangan 2025-2,umum,umum,umum umum,sandiwara bumi  taufiqurrahman alazizy taufiqurrahman alazizy  velisya maharani umum umum
Mobil Mr. Cugnot,Raka Insan,Fik,Penyiangan 2025-2,umum,umum,umum umum,mobil mr cugnot raka insan umum umum
Beautiful Sin,Kamiluddin Aziz,Fik,Penyiangan 2025-2,umum,umum,umum umum,beautiful sin kamiluddin aziz umum umum
Jago Bermain Billiard,Radhitya Daniswara,794.72,Penyiangan 2025-2,umum,umum,umum umum,jago bermain billiard radhitya daniswara umum umum
Jalan Pintas Lolos IELTS,Achmad Fanani ; Uswatun Qoyyimah,420,Penyiangan 2025-2,umum,umum,umum umum,jalan pintas lolos ielts achmad fanani  uswatun qoyyimah umum umum
Buku Pintar Ibu Hamil,Fania Putri,612.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,buku pintar ibu hamil fania putri teknologi umum
Buku Pintar Ibu Hamil,Fania Putri,612.6,Penyiangan 2025-2,teknologi,umum,teknologi umum,buku pintar ibu hamil fania putri teknologi umum
"Resep Rumahan Terfavorit Ayam, Daging, Nasi, Soto",Yayuk,641.5,Penyiangan 2025-2,teknologi,umum,teknologi umum,resep rumahan terfavorit ayam daging nasi soto yayuk teknologi umum
Deteksi Penyakit Anak & Pengobatannya,Dewi Lestari,618.92,Penyiangan 2025-2,teknologi,anak,teknologi anak,deteksi penyakit anak  pengobatannya dewi lestari teknologi anak
